face_id,node_ids,adjacent_element_id,adjacent_soil_id,adjacent_material_id,boundary_type
2757,6006 6007 6407 6406,5271,8,mat_soil_008,y_min
2758,6007 6008 6408 6407,5272,8,mat_soil_008,y_min
2759,6008 6009 6409 6408,5273,8,mat_soil_008,y_min
2760,6009 6010 6410 6409,5274,8,mat_soil_008,y_min
2761,6010 6011 6411 6410,5275,8,mat_soil_008,y_min
2762,6011 6012 6412 6411,5276,8,mat_soil_008,y_min
2763,6012 6013 6413 6412,5277,8,mat_soil_008,y_min
2764,6013 6014 6414 6413,5278,8,mat_soil_008,y_min
2765,6014 6015 6415 6414,5279,8,mat_soil_008,y_min
2766,6015 6016 6416 6415,5280,8,mat_soil_008,y_min
2767,6016 6017 6417 6416,5281,8,mat_soil_008,y_min
2768,6017 6018 6418 6417,5282,8,mat_soil_008,y_min
2769,6018 6019 6419 6418,5283,8,mat_soil_008,y_min
2770,6019 6020 6420 6419,5284,8,mat_soil_008,y_min
2771,6020 6021 6421 6420,5285,8,mat_soil_008,y_min
2772,6021 6022 6422 6421,5286,8,mat_soil_008,y_min
2773,6022 6023 6423 6422,5287,8,mat_soil_008,y_min
2774,6023 6024 6424 6423,5288,8,mat_soil_008,y_min
2775,6024 6025 6425 6424,5289,8,mat_soil_008,y_min
2776,6025 6026 6426 6425,5290,8,mat_soil_008,y_min
2777,6026 6027 6427 6426,5291,8,mat_soil_008,y_min
2778,6027 6028 6428 6427,5292,8,mat_soil_008,y_min
2779,6028 6029 6429 6428,5293,8,mat_soil_008,y_min
2780,6029 6030 6430 6429,5294,8,mat_soil_008,y_min
2781,6030 6031 6431 6430,5295,8,mat_soil_008,y_min
2782,6031 6032 6432 6431,5296,8,mat_soil_008,y_min
2783,6032 6033 6433 6432,5297,8,mat_soil_008,y_min
2784,6033 6034 6434 6433,5298,8,mat_soil_008,y_min
2785,6034 6035 6435 6434,5299,8,mat_soil_008,y_min
2786,6035 6036 6436 6435,5300,8,mat_soil_008,y_min
2787,6036 6037 6437 6436,5301,8,mat_soil_008,y_min
2788,6037 6038 6438 6437,5302,8,mat_soil_008,y_min
2789,6038 6039 6439 6438,5303,8,mat_soil_008,y_min
2790,6039 6079 6479 6439,5303,8,mat_soil_008,x_max
2791,6040 6440 6480 6080,5304,8,mat_soil_008,x_min
2792,6079 6119 6519 6479,5342,8,mat_soil_008,x_max
2793,6080 6480 6520 6120,5343,8,mat_soil_008,x_min
2794,6119 6159 6559 6519,5381,8,mat_soil_008,x_max
2795,6120 6520 6560 6160,5382,8,mat_soil_008,x_min
2796,6159 6199 6599 6559,5420,8,mat_soil_008,x_max
2797,6160 6560 6600 6200,5421,8,mat_soil_008,x_min
2798,6199 6239 6639 6599,5459,8,mat_soil_008,x_max
2799,6200 6600 6640 6240,5460,8,mat_soil_008,x_min
2800,6239 6279 6679 6639,5498,8,mat_soil_008,x_max
2801,6240 6640 6680 6280,5499,8,mat_soil_008,x_min
2802,6279 6319 6719 6679,5537,8,mat_soil_008,x_max
2803,6280 6680 6720 6320,5538,8,mat_soil_008,x_min
2804,6319 6359 6759 6719,5576,8,mat_soil_008,x_max
2805,6360 6760 6761 6361,5577,8,mat_soil_008,y_max
2806,6320 6720 6760 6360,5577,8,mat_soil_008,x_min
2807,6361 6761 6762 6362,5578,8,mat_soil_008,y_max
2808,6362 6762 6763 6363,5579,8,mat_soil_008,y_max
2809,6363 6763 6764 6364,5580,8,mat_soil_008,y_max
2810,6364 6764 6765 6365,5581,8,mat_soil_008,y_max
2811,6365 6765 6766 6366,5582,8,mat_soil_008,y_max
2812,6366 6766 6767 6367,5583,8,mat_soil_008,y_max
2813,6367 6767 6768 6368,5584,8,mat_soil_008,y_max
2814,6368 6768 6769 6369,5585,8,mat_soil_008,y_max
2815,6369 6769 6770 6370,5586,8,mat_soil_008,y_max
2816,6370 6770 6771 6371,5587,8,mat_soil_008,y_max
2817,6371 6771 6772 6372,5588,8,mat_soil_008,y_max
2818,6372 6772 6773 6373,5589,8,mat_soil_008,y_max
2819,6373 6773 6774 6374,5590,8,mat_soil_008,y_max
2820,6374 6774 6775 6375,5591,8,mat_soil_008,y_max
2821,6375 6775 6776 6376,5592,8,mat_soil_008,y_max
2822,6376 6776 6777 6377,5593,8,mat_soil_008,y_max
2823,6377 6777 6778 6378,5594,8,mat_soil_008,y_max
2824,6378 6778 6779 6379,5595,8,mat_soil_008,y_max
2825,6379 6779 6780 6380,5596,8,mat_soil_008,y_max
2826,6380 6780 6781 6381,5597,8,mat_soil_008,y_max
2827,6381 6781 6782 6382,5598,8,mat_soil_008,y_max
2828,6382 6782 6783 6383,5599,8,mat_soil_008,y_max
2829,6383 6783 6784 6384,5600,8,mat_soil_008,y_max
2830,6384 6784 6785 6385,5601,8,mat_soil_008,y_max
2831,6385 6785 6786 6386,5602,8,mat_soil_008,y_max
