face_id,node_ids,left_element_id,right_element_id,left_soil_id,right_soil_id,left_material_id,right_material_id
3308,7636 7637 7677 7676,6354,6705,8,6,mat_soil_008,mat_soil_006
3310,7637 7638 7678 7677,6355,6706,8,6,mat_soil_008,mat_soil_006
3312,7638 7639 7679 7678,6356,6707,8,6,mat_soil_008,mat_soil_006
3316,7250 7290 7690 7650,6366,6367,6,8,mat_soil_006,mat_soil_008
3317,7650 7651 7691 7690,6367,6718,8,6,mat_soil_008,mat_soil_006
3318,7651 7652 7692 7691,6368,6719,8,6,mat_soil_008,mat_soil_006
3319,7652 7653 7693 7692,6369,6720,8,6,mat_soil_008,mat_soil_006
3320,7653 7654 7694 7693,6370,6721,8,6,mat_soil_008,mat_soil_006
3321,7654 7655 7695 7694,6371,6722,8,6,mat_soil_008,mat_soil_006
3322,7294 7694 7695 7295,6371,6410,8,6,mat_soil_008,mat_soil_006
3323,7255 7295 7695 7655,6371,6372,8,6,mat_soil_008,mat_soil_006
3324,7258 7298 7698 7658,6374,6375,6,8,mat_soil_006,mat_soil_008
3325,7658 7659 7699 7698,6375,6726,8,6,mat_soil_008,mat_soil_006
3326,7659 7660 7700 7699,6376,6727,8,6,mat_soil_008,mat_soil_006
3327,7663 7664 7704 7703,6380,6731,8,6,mat_soil_008,mat_soil_006
3328,7664 7665 7705 7704,6381,6732,8,6,mat_soil_008,mat_soil_006
3329,7665 7666 7706 7705,6382,6733,8,6,mat_soil_008,mat_soil_006
3330,7266 7306 7706 7666,6382,6383,8,6,mat_soil_008,mat_soil_006
3331,7275 7315 7715 7675,6391,6392,6,8,mat_soil_006,mat_soil_008
3332,7675 7676 7716 7715,6392,6743,8,6,mat_soil_008,mat_soil_006
3333,7315 7715 7716 7316,6392,6431,8,6,mat_soil_008,mat_soil_006
3334,7676 7677 7717 7716,6393,6744,8,6,mat_soil_008,mat_soil_006
3335,7677 7678 7718 7717,6394,6745,8,6,mat_soil_008,mat_soil_006
3336,7678 7679 7719 7718,6395,6746,8,6,mat_soil_008,mat_soil_006
3339,7327 7727 7728 7328,6403,6442,6,8,mat_soil_006,mat_soil_008
3340,7328 7728 7729 7329,6404,6443,6,8,mat_soil_006,mat_soil_008
3341,7329 7729 7730 7330,6405,6444,6,8,mat_soil_006,mat_soil_008
